diocese_name,address,city,state,site_link,parish_list_url,is_ecatholic,is_target
Diocese of Columbus,197 E. Gay Street,Columbus,OH,http://www.colsdioc.org/,,,FALSE
Diocese of Steubenville,"422 Washington Street, P.O. Box 969",Steubenville,OH,http://www.diosteub.org/,https://www.diosteub.org/parishfinder,TRUE,FALSE
Diocese of Toledo,1933 Spielbusch Avenue,Toledo,OH,http://www.toledodiocese.org/,https://toledodiocese.org/find-a-parish,,FALSE
Diocese of Youngstown,144 W. Wood Street,Youngstown,OH,http://www.doy.org/,https://doy.org/parishes/,,FALSE
Archdiocese of Oklahoma City,7501 N.W. Expressway,Oklahoma City,OK,http://www.archokc.org/,https://archokc.org/parishfinder,TRUE,FALSE
Diocese of Tulsa,P.O. Box 690240,Tulsa,OK,http://www.dioceseoftulsa.org/,https://www.dioceseoftulsa.org/parishfinder,TRUE,FALSE
Archdiocese of Portland in Oregon,2838 East Burnside Street,Portland,OR,http://www.archdpdx.org/,https://www.archdpdx.org/parishfinder,TRUE,FALSE
Diocese of Baker,641 SW Umatilla Avenue,Redmond,OR,http://dioceseofbaker.org/,https://dioceseofbaker.org/parishfinder,TRUE,FALSE
Byzantine Catholic Archeparchy of Pittsburgh,66 Riverview Avenue,Pittsburgh,PA,http://www.archeparchy.org/,,,FALSE
Ukrainian Catholic Archeparchy of Philadelphia,810 N. Franklin Street,Philadelphia,PA,http://www.ukrarcheparchy.us/,https://ukrcatholic.org/parishes,,FALSE
Archdiocese of Philadelphia,222 North 17th Street,Philadelphia,PA,http://www.archphila.org/,https://archphila.org/parish/,,FALSE
Diocese of Allentown,P.O. Box F,Allentown,PA,http://www.allentowndiocese.org/,https://www.allentowndiocese.org/maps/parishes,,FALSE
Diocese of Altoona-Johnstown,2713 West Chestnut Avenue,Altoona,PA,http://www.ajdiocese.org/,https://www.dioceseaj.org/parishes/,,FALSE
Diocese of Erie,429 E. Grandview Blvd.,Erie,PA,http://www.eriercd.org/,https://www.eriercd.org/find-parish-school.php,,FALSE
Diocese of Greensburg,723 East Pittsburgh St.,Greensburg,PA,http://www.dioceseofgreensburg.org/,https://www.dioceseofgreensburg.org/parishes/parish-directory/,,FALSE
Diocese of Harrisburg,4800 Union Deposti Road,Harrisburg,PA,http://www.hbgdiocese.org/,https://www.hbgdiocese.org/parishes/,,FALSE
Diocese of Pittsburgh,2900 Noblestown Road,Pittsburgh,PA,http://www.diopitt.org/,https://www.diopitt.org/alphabetical-list-of-current-parishes,,FALSE
Diocese of Scranton,300 Wyoming Avenue,Scranton,PA,http://www.dioceseofscranton.org/,https://www.dioceseofscranton.org/find-a-parish/,,FALSE
Diocese of Providence,One Cathedral Square,Providence,RI,http://www.dioceseofprovidence.org/,https://www.dioceseofprovidence.org/parishfinder,TRUE,FALSE
Diocese of Charleston,901 Orange Grove Road,Charleston,SC,https://charlestondiocese.org/,https://directory.charlestondiocese.org/directories/parish-directory/,,FALSE
Diocese of Rapid City,606 Cathedral Drive,Rapid City,SD,http://www.rapidcitydiocese.org/,https://www.rapidcitydiocese.org/parishes/,,FALSE
Diocese of Sioux Falls,523 N. Duluth Avenue,Sioux Falls,SD,https://sfcatholic.org/,https://sfcatholic.org/parishes/,,FALSE
Diocese of Knoxville,805 S. Northshore Drive,Knoxville,TN,http://www.dioknox.org/,https://www.dioknox.org/parishfinder,TRUE,FALSE
Diocese of Memphis,5825 Shelby Oaks Drive,Memphis,TN,http://www.cdom.org/,,,FALSE
Diocese of Nashville,2800 McGavock Pike,Nashville,TN,http://www.dioceseofnashville.com/,,,FALSE
Archdiocese of Galveston-Houston,1700 San Jacinto,Houston,TX,http://www.archgh.org/,https://www.archgh.org/parishfinder,TRUE,FALSE
Archdiocese of San Antonio,2718 West Woodlawn Avenue,San Antonio,TX,http://www.archsa.org/,,,FALSE
Diocese of Amarillo,P.O. Box 5644,Amarillo,TX,http://www.amarillodiocese.org/,https://www.amarillodiocese.org/parishfinder,TRUE,FALSE
Diocese of Austin,6225 Highway 290 East,Austin,TX,http://www.austindiocese.org/,https://www.austindiocese.org/parishfinder,TRUE,FALSE
Diocese of Beaumont,710 Archie Street,Beaumont,TX,http://www.dioceseofbmt.org/,https://www.dioceseofbmt.org/parishfinder,TRUE,FALSE
Diocese of Brownsville,1910 University Boulevard,Brownsville,TX,http://www.cdob.org/,,,FALSE
Diocese of Corpus Christi,"555 N. Carancahua, Suite 750",Corpus Christi,TX,http://www.diocesecc.org/,https://www.diocesecc.org/parishfinder,TRUE,FALSE
Diocese of Dallas,3725 Blackburn Street,Dallas,TX,http://www.cathdal.org/,https://dallascatholic.org/community-finder/,,FALSE
Diocese of El Paso,499 St. Matthews Street,El Paso,TX,http://www.elpasodiocese.org/,http://www.elpasodiocese.org/parishes.html,,FALSE
Diocese of Fort Worth,800 West Loop 820 South,Fort Worth,TX,http://www.fwdioc.org/,https://fwdioc.org/parish-finder,,FALSE
Diocese of Laredo,1901 Corpus Christi St.,Laredo,TX,http://www.dioceseoflaredo.org/,https://dioceseoflaredo.org/parishes/,,FALSE
Diocese of Lubbock,4620 Fourth Street,Lubbock,TX,http://www.catholiclubbock.org/,https://www.catholiclubbock.org/Parishes.html,,FALSE
Diocese of San Angelo,804 Ford Street,San Angelo,TX,http://www.sanangelodiocese.org/,https://www.sanangelodiocese.org/parishfinder,TRUE,FALSE
Diocese of The Personal Ordinariate of the Chair of St. Peter,7730 Westview Drive,Houston,TX,http://www.ordinariate.net/,https://www.ordinariate.net/parishfinder,TRUE,FALSE
Diocese of Tyler,1015 ESE Loop 323,Tyler,TX,http://www.dioceseoftyler.org/,https://www.dioceseoftyler.org/parishes/,,FALSE
